Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
93,0.2583,2.2945,0.9558,0.8938,0.8822,0.774,0.9157,0.825,0.8493,0.7107
94,0.2586,1.7141,0.9591,0.902,0.8795,0.7855,0.9163,0.8353,0.848,0.7254
95,0.195,1.8739,0.9663,0.902,0.8974,0.7888,0.9297,0.8368,0.8708,0.7275
96,0.1794,2.0633,0.9658,0.9058,0.9029,0.7868,0.9323,0.8383,0.8754,0.7291
97,0.1733,2.1463,0.9673,0.8889,0.9045,0.7941,0.9338,0.835,0.8783,0.7235
98,0.1712,2.0366,0.9678,0.8958,0.9052,0.798,0.9344,0.8406,0.8794,0.7326
99,0.1617,1.9676,0.9693,0.8701,0.9075,0.8197,0.9362,0.8414,0.8824,0.7333
100,0.1628,2.0334,0.9704,0.899,0.9092,0.7919,0.9378,0.8384,0.885,0.7294
101,0.1602,2.0376,0.9713,0.8874,0.91,0.8095,0.9385,0.8429,0.8864,0.7354
102,0.1615,2.102,0.9695,0.9,0.9097,0.7863,0.9377,0.8354,0.885,0.7248
103,0.1551,2.2374,0.9713,0.9213,0.9111,0.772,0.9394,0.8357,0.8878,0.7259
104,0.1483,2.5168,0.9727,0.9314,0.9183,0.7456,0.9441,0.823,0.8958,0.7078
105,0.145,2.5728,0.973,0.9433,0.9193,0.7278,0.9448,0.8154,0.8971,0.6976
106,0.1432,2.6091,0.9723,0.9344,0.9201,0.7446,0.9449,0.8242,0.8974,0.7094
107,0.1413,2.2667,0.9736,0.9366,0.9212,0.7441,0.9462,0.8235,0.8995,0.7087
108,0.1426,2.4001,0.9738,0.9404,0.9214,0.7371,0.9463,0.8215,0.8998,0.7054
109,0.1402,2.2506,0.9744,0.9386,0.9225,0.7361,0.9472,0.8203,0.9013,0.7034
110,0.1433,2.1651,0.9704,0.9107,0.9212,0.7634,0.944,0.8263,0.8965,0.7118
111,0.1419,2.0664,0.9737,0.9415,0.9211,0.7369,0.9461,0.8222,0.8995,0.7061
112,0.134,2.0577,0.9746,0.9171,0.9261,0.7671,0.9493,0.8318,0.9049,0.7193
113,0.1301,2.2177,0.9754,0.9301,0.927,0.7521,0.9501,0.8269,0.9064,0.7128
114,0.1345,2.1719,0.975,0.9327,0.9251,0.7498,0.9489,0.8265,0.9044,0.7124
115,0.1239,2.4065,0.9762,0.9294,0.9305,0.7518,0.9523,0.8274,0.9104,0.7136
116,0.153,2.7646,0.97,0.9418,0.922,0.7284,0.9448,0.8171,0.8973,0.6985
117,0.1394,2.3585,0.974,0.9357,0.9267,0.7413,0.9494,0.8225,0.905,0.7067
